Image,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_Entropy,original_firstorder_Energy,original_firstorder_Uniformity,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Skewness,original_firstorder_Kurtosis,original_glcm_Contrast,original_glcm_Idm,original_glcm_Correlation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_gldm_GrayLevelNonUniformity,original_gldm_DependenceNonUniformity,original_gldm_DependenceVariance,original_gldm_LowGrayLevelEmphasis,original_gldm_HighGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_LargeAreaEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_GrayLevelVariance,original_glszm_SizeZoneNonUniformity,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_glrlm_LongRunEmphasis
Normal- (1).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},c024fd05eb786cb2022c9ac07d5fc154a55070ec,2D,"(1.0, 1.0)","(768, 768)",123.11039225260417,37.0,255.0,49e898edd710e5c72ab9aa02e62333366be7a3bd,"(1.0, 1.0)","(768, 768)","(285, 381, 270, 66)",332,2,"(327.9156626506024, 431.7801204819277)","(327.9156626506024, 431.7801204819277)",1.595186332068416,14209153.0,0.38951589490492095,13.011685295398461,-0.18977408186117417,3.885412347405181,0.7685004822325174,0.7172823188180395,0.25650487840740127,7.052117806474335,-0.3184955430201611,129.31927710843374,53.31927710843374,3.1889243721875453,0.08371904283801875,14.792168674698795,4.2487045700789,124.02941176470588,0.44799327829130975,1.0752595155709344,14.823529411764707,113.4559658513516,0.7293999180585719,3.5887075897235854
Normal- (10).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},6f98fb95a6ac06ff13c3e58078b731e52054ad48,2D,"(1.0, 1.0)","(768, 768)",119.2725321451823,37.0,255.0,f0846e06954bd2baf1c3cdd12421d1d017f13906,"(1.0, 1.0)","(768, 768)","(315, 387, 186, 60)",230,2,"(473.204347826087, 402.0739130434783)","(473.204347826087, 402.0739130434783)",3.1644089197278658,7445296.0,0.12052930056710776,61.94654064272213,-0.0649972482457265,1.5537739364223826,2.6689166200768,0.5573822652537739,0.8330217358303632,1337.3140686653448,-17.952565711780906,27.721739130434784,48.26086956521739,3.993875236294896,0.07520107257878998,46.243478260869566,4.782448046118666,24.042105263157893,0.6257945906432748,6.628698060941829,35.0,121.33068136338223,0.8515289447097577,2.588351466663351
Normal- (100).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},13e7f3f26eccac42c55268a09cb762d53e836552,2D,"(1.0, 1.0)","(768, 768)",105.17879401312933,37.0,255.0,5ca8b6d76a6b1e75c7193e16937acd877ae5954c,"(1.0, 1.0)","(768, 768)","(543, 249, 12, 25)",141,1,"(546.5673758865248, 258.93617021276594)","(546.5673758865248, 258.93617021276594)",3.129116668232607,3154267.0,0.12841406367888938,51.90070921985816,0.3552253146153586,1.980480974839063,2.719799061834819,0.5507707832229188,0.7957883401183079,1034.2230162633757,27.12888822016226,18.106382978723403,30.20567375886525,1.7930687591167447,0.10883390045011963,31.31205673758865,4.323962444639191,9.229508196721312,0.6208283613992045,4.8809459822628325,22.18032786885246,74.51387115074112,0.8366122674295112,1.9295206183159763
Normal- (1002).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},fe37880ae463813110ee94f77f8a1080a2b39fa5,2D,"(1.0, 1.0)","(768, 768)",90.562255859375,37.0,255.0,d9ca3d0bb793fa5d6e96b035d4823747ea09f1fb,"(1.0, 1.0)","(768, 768)","(477, 333, 18, 24)",300,1,"(487.19, 345.32666666666665)","(487.19, 345.32666666666665)",2.6403397169085965,3768275.0,0.2218444444444444,52.26240000000001,1.331534228982608,3.416341015636711,2.6817107551702035,0.6278447194881057,0.8141838928154899,2094.213115008025,157.34628128541948,66.55333333333333,44.84,3.563822222222223,0.36641837154614926,17.03,4.7307216336881,75.90243902439025,0.6349745766269521,6.359904818560381,30.78048780487805,113.5302944116527,0.7725092570777505,3.3839543930354576
Normal- (1005).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},f0654582d845d11281cfa1f141cb838d6c1451f6,2D,"(1.0, 1.0)","(768, 768)",90.59443834092882,37.0,255.0,3b35ceac25265f61ecb87238ad313509ba311a2c,"(1.0, 1.0)","(768, 768)","(459, 339, 24, 30)",247,1,"(471.834008097166, 353.0931174089069)","(471.834008097166, 353.0931174089069)",2.4258606747676867,10469857.0,0.25974856168761984,39.47207789014735,-1.8037570276306236,5.306843931938035,1.9610813017939879,0.6633806802286939,0.7695527326562284,1446.4260489254914,-116.68170338176556,64.15789473684211,39.340080971659916,3.5497057811142616,0.06915707181058059,60.4331983805668,4.645551112039816,47.45333333333333,0.5759496823656147,5.087288888888889,23.933333333333334,98.70040335434017,0.7797326257642296,3.0094722616617986
Normal- (1006).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},2939240e88a6050075e2b7b485c2ed261fc9839b,2D,"(1.0, 1.0)","(768, 768)",90.56720479329427,37.0,255.0,f24f719430b0c6205b506d9a9cc6a1d8eccdd50b,"(1.0, 1.0)","(768, 768)","(447, 357, 18, 18)",179,1,"(456.6815642458101, 366.77653631284915)","(456.6815642458101, 366.77653631284915)",1.900229916869459,7611572.0,0.28204487999750316,18.77457008208233,-0.37801652090796484,1.9543272944138594,0.5041743516655488,0.7640880002235636,0.7340315871491389,21.006684086509498,-1.8113073511470985,50.486033519553075,30.508379888268156,2.964639056209232,0.24068901303538176,8.441340782122905,3.943465189601642,156.76,0.2827189865547837,1.0016,3.8,46.64683962721882,0.6618222610583833,4.354689700539794
Normal- (102).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},462f0daa425f68e6953bef7b1db804c52694c5a3,2D,"(1.0, 1.0)","(768, 768)",105.33322482638889,37.0,255.0,7cf663fbc55ac13d217644a5e9364eb333151117,"(1.0, 1.0)","(768, 768)","(579, 195, 6, 6)",31,1,"(581.516129032258, 197.58064516129033)","(581.516129032258, 197.58064516129033)",1.4617205938199433,265810.0,0.3860561914672217,14.187304890738815,0.23726838090916022,1.9020665866416306,0.36985446352454027,0.8150727682377299,0.5850275551506264,4.030663536491147,-0.1203923541381639,11.96774193548387,7.645161290322581,1.5941727367325702,0.32168458781362,5.290322580645161,1.9999999999999987,90.75,0.26880222681359045,0.6875,1.0,7.620015948963317,0.6116515299190738,3.7182881446039344
Normal- (1022).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},7fab268414654617535ec0bdc31cd0113a155059,2D,"(1.0, 1.0)","(768, 768)",88.72080993652344,37.0,255.0,b86af94f70f6cd559d8e9dd246c6305a524107ef,"(1.0, 1.0)","(768, 768)","(321, 441, 6, 6)",32,1,"(323.5, 443.5)","(323.5, 443.5)",2.185056248918264,238643.0,0.232421875,25.826171875,0.08462923421371926,1.6678965870860243,1.8121657754010694,0.6244613085876062,0.25411004374905016,20.913123573803286,0.3634211233387369,7.4375,7.375,1.65234375,0.2987239583333333,9.0625,3.095795255000931,15.454545454545455,0.6469121057513915,1.9008264462809918,5.0,16.491051976346093,0.817781279178338,2.5172735760971054
Normal- (1026).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},27261970734c6158feebe1049680e49b42ff8794,2D,"(1.0, 1.0)","(766, 766)",118.26593677780883,37.0,255.0,30e0455cb903dba86d354f7bfa74b140d61d392d,"(1.0, 1.0)","(766, 766)","(218, 410, 437, 138)",16046,4,"(346.37031035772156, 489.2436121151689)","(346.37031035772156, 489.2436121151689)",2.280939297596712,751150866.0,0.23053048175141613,23.52173311277628,-0.4752616952447321,3.440066467559344,0.730396933208365,0.7527326275233575,0.7685134831327205,97.20276314283694,-3.1356578085838036,3699.092110183223,1990.8111678923096,4.77275129279403,0.016635057855757796,67.89399227221737,5.275876865081291,4977.023192360164,0.5089510682831593,2.0110126952161687,368.69304229195086,2803.7931613038454,0.6118843663717566,8.789456014195427
Normal- (1027).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},c313b2486785b07af0dcf6abc163bfb37855280a,2D,"(1.0, 1.0)","(766, 766)",117.91849082071593,37.0,255.0,36cec0ad1775ba535ab3ea422e32ec0ae4f866c4,"(1.0, 1.0)","(766, 766)","(218, 422, 467, 114)",12783,4,"(347.1803176093249, 484.61401861847764)","(347.1803176093249, 484.61401861847764)",2.282968746299368,595538968.0,0.2302388942121625,23.93527281148508,-0.5839097814702341,4.215773853418204,0.7868728959678236,0.7449441387992399,0.7579130792295512,123.41072372786243,-4.716563559979345,2943.1437847140733,1566.7612454040523,4.8889672095830505,0.017187739014265038,67.52561996401471,5.371938410217152,3537.752679938744,0.49656843408791396,2.2053708997699393,314.42113323124045,2432.1448736760003,0.6293202057457394,8.246190228135982
